요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
단국대학교 치과대학 세종치과병원,치과병원,세종시,410000,세종시,"세종특별자치시 도움8로 87, 단국빌딩 1(일부), 3층 (어진동)",127.2711462,36.5044141
당신의치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 해밀3로 51, 스카이허브 404,405호 (해밀동)",127.2650247,36.5290997
대성한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 도원2로 39, (조치원읍)",127.2870288,36.592725
대중한의원,한의원,세종시,410000,세종시,"세종특별자치시 전의면 만세길 22, (전의면)",127.2044795,36.6789546
더공감정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2135, 스타힐타워1 304호 (보람동)",127.2891042,36.4783531
더본한의원,한의원,세종시,410000,세종시,"세종특별자치시 소담로 93, 아이콤스타시티타워 205,206,207호 (소담동)",127.3014266,36.4857449
더브라운치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 마음로 272-3, 고운에듀프라자 303,304호 (고운동)",127.2358501,36.5197309
더블유성형외과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 245, 401호 (나성동, 에스알파크원)",127.2576476,36.4860984
더블유세종어진건강의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 401호 (어진동)",127.2572294,36.495415
더플랜트치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 아름서1길 13-12, 403,404호 (아름동, 제이디빌딩)",127.243243,36.5116515
덴탈365치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1958, 법조타운A 3층 301~310호 (소담동)",127.3022365,36.4894906
도담도담소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 보듬3로 6, 212호 (도담동, 라온프라이빗시티2상가)",127.2589409,36.5128445
도담민들레치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 보듬3로 8-27, 403-1호 (도담동, 새한빌딩)",127.2578153,36.5146905
도란도란소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 57, 다정센타프라자 303호 (다정동)",127.2485084,36.4956266
도치소아치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 51, 더다정빌딩 505호 (다정동)",127.248559,36.4949999
동경한의원,한의원,세종시,410000,세종시,"세종특별자치시 소담3로 8, 새샘마을7단지 근린생활시설 1층 5호 (소담동)",127.3005188,36.4859371
동인한의원,한의원,세종시,410000,세종시,"세종특별자치시 호려울로 19, 스마트허브Ⅲ 304호 (보람동)",127.2889044,36.4773679
동행정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 704호 (어진동)",127.2624604,36.5082343
두리이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 194, 중앙타운 801,802호 (어진동)",127.2624604,36.5082343
두미소신경과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 249, 에스제이타워 408~410,507호 (나성동)",127.2574385,36.4864392
두치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 달빛로 59, 402.403.404호 (종촌동, 호만빌딩)",127.2497581,36.5042368
둥구나무한의원,한의원,세종시,410000,세종시,"세종특별자치시 금남면 용포로 80, 3층",127.2814867,36.4657609
드림내과의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 55, 401호,402호403호 (새롬동, 행운빌딩)",127.2504172,36.4857969
드림이비인후과의원,의원,세종시,410000,세종시,"세종특별자치시 남세종로 458, 아리랑빌딩 201,202호 (보람동)",127.289221,36.4770471
디어트치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2275, 알파메디컬센터 303~306호 (대평동)",127.2763919,36.4715494
따뜻한 정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 2257, 판타지타워 304호 (대평동)",127.2780049,36.4726172
라메종의원,의원,세종시,410000,세종시,"세종특별자치시 해밀3로 43, 스카이드림 503호 (해밀동)",127.2644917,36.5285836
라비에피부과의원,의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 51, 더다정빌딩 501,502,503호 (다정동)",127.248559,36.4949999
라온소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 62-15, 해피라움W 303,304호 (새롬동)",127.251249,36.486926
로뎀소아청소년과의원,의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 52, 페스티발2 402~404호 (다정동)",127.2492573,36.4951815
로안한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1844, 402,403호 (반곡동)",127.3099443,36.4978764
류마플러스내과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 499, 청암빌딩 401호 (어진동)",127.2611239,36.5080759
리더본재활의학과의원,의원,세종시,410000,세종시,"세종특별자치시 나성북로 30, 퍼스트원 6층 648호~655호 (나성동)",127.2602452,36.4890738
마음그린한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내6길 3, 3",127.2987733,36.5984026
마음편한치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 남세종로 458, 아리랑빌딩 303호 (보람동)",127.289221,36.4770471
마음현정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)",127.2563759,36.4888054
마인드랩공간정신건강의학과의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 265, 명동프라자 406~407호 (나성동)",127.2567369,36.4878216
맑은내과외과의원,의원,세종시,410000,세종시,"세종특별자치시 달빛로 45, The Riverside 401~404, 503호 (종촌동)",127.2499705,36.5029419
맘애든치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 도움3로 105-8, 501.502호 (종촌동, 신목빌딩)",127.2492225,36.5043082
매일연합의원,의원,세종시,410000,세종시,"세종특별자치시 절재로 154, 1층 (어진동, 홈플러스 세종점)",127.2588023,36.5073644
메디캐치 정형외과의원,의원,세종시,410000,세종시,"세종특별자치시  마음로 272-17, 세종 NS타워 3차 4층 (고운동)",127.2352862,36.5184972
메디캐치의원,의원,세종시,410000,세종시,"세종특별자치시  마음로 272-17, 세종NS타워 3차 3층 (고운동)",127.2352862,36.5184972
메디컬뱅크치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 2호 (어진동)",127.2572294,36.495415
모드니치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 금송로 687, 3층 (가람동, 이마트세종점)",127.2509531,36.4709135
목은한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 169, 세종행복타워 302호 (나성동)",127.2618223,36.4802343
문내과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원로 22, 22",127.2991293,36.6011976
문치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 대첩로 75, 75",127.287912,36.5947003
미애로여성의원,의원,세종시,410000,세종시,"세종특별자치시 한누리대로 253, 에스빌딩 603호,604호 (나성동)",127.2572291,36.4868089
바로선한의원,한의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 33, 새뜸프라자 302호 (새롬동)",127.2518361,36.4840497
바른명치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 583, 도담센트럴프라자 302,303,304,504,505호 (도담동)",127.2584602,36.5152951
바른뿌리치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 새내8길 7, 2층",127.2988715,36.5994701
바른우리치과교정과치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 새롬중앙로 64, 301~302호 (새롬동, 세종영광프라자)",127.2509811,36.4866487
바른치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 한누리대로 253, 에스빌딩 502호 (나성동)",127.2572291,36.4868089
바른한의원,한의원,세종시,410000,세종시,"세종특별자치시 달빛로 59, 호만빌딩 203호,301호,302호 (종촌동)",127.2497581,36.5042368
박성섭한의원,한의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원4길 6, 6",127.2986374,36.6011345
박소영한의원,한의원,세종시,410000,세종시,"세종특별자치시 도움1로 108, 413호 (종촌동, 몰리브)",127.247577,36.5026384
박승룡한의원,한의원,세종시,410000,세종시,"세종특별자치시 달빛로 47, 202호 (종촌동, 종촌파크프라자)",127.2499068,36.5031568
박정준한의원,한의원,세종시,410000,세종시,"세종특별자치시 고운서길 7, 골드프라자 202호 (고운동)",127.2347667,36.5053178
박종석치과의원,치과의원,세종시,410000,세종시,"세종특별자치시 조치원읍 장안로 1, (조치원읍)",127.3013597,36.6014311
반곡한의원,한의원,세종시,410000,세종시,"세종특별자치시 한누리대로 1824, 조이프라자 405~406호 (반곡동)",127.312127,36.4980948
반달한의원,한의원,세종시,410000,세종시,"세종특별자치시 다정중앙로 57, 다정센타프라자 203호 (다정동)",127.2485084,36.4956266
백내과의원,의원,세종시,410000,세종시,"세종특별자치시 조치원읍 조치원2길 5, 2~4층",127.2975876,36.601021
