요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
민 정신건강의학과의원,의원,전남,360400,순천시,"전라남도 순천시 순광로 6, 4층 (조례동)",127.521938,34.9542909
민들레하나한의원,한의원,전남,360400,순천시,"전라남도 순천시 충효로 144, (연향동)",127.5165696,34.9515245
민병민치과의원,치과의원,전남,360700,광양시,"전라남도 광양시 광양읍 읍내중앙길 14, 14",127.5881399,34.9753447
민성형외과의원,의원,전남,360500,여수시,"전라남도 여수시 망마로 39, 3층 (학동)",127.6671693,34.759745
민소아청소년과의원,의원,전남,360500,여수시,"전라남도 여수시 소라면 죽림로 15, 2층",127.6395937,34.762314
민치과의원,치과의원,전남,360022,화순군,"전라남도 화순군 화순읍 광덕로 155, (화순읍)",126.9916551,35.0586121
민치과의원,치과의원,전남,360017,장성군,"전라남도 장성군 장성읍 영천로 125-4, (장성읍)",126.7807446,35.2970295
믿음치과의원,치과의원,전남,360017,장성군,"전라남도 장성군 장성읍 영천로 157, (장성읍)",126.7814426,35.2997117
밀알치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 호남길 1, (행동)",127.483884,34.9569347
바로그의원,의원,전남,360500,여수시,"전라남도 여수시 시청로 19, 우리은행 201호 (학동)",127.6625782,34.7634401
바로본신경외과의원,의원,전남,360500,여수시,"전라남도 여수시 망마로 25, 4층 (학동)",127.6659267,34.7602938
바른길치과의원,치과의원,전남,360008,담양군,"전라남도 담양군 담양읍 중앙로 85, (담양읍)",126.982158,35.3207149
바른부부한의원,한의원,전남,360200,나주시,"전라남도 나주시 빛가람로 676, 씨티원 빌딩 303,304호 (빛가람동)",126.7855406,35.0208051
바른의원,의원,전남,360400,순천시,"전라남도 순천시 팔마로 148, 팔마빌딩 2~3층 (덕암동)",127.5040148,34.9442758
바른이치과교정과치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 망마로 40, 2층 (학동)",127.66705,34.7592841
바른이치과의원,치과의원,전남,360001,강진군,"전라남도 강진군 강진읍 영랑로4길 7, 1층",126.7687418,34.6389913
바른정형외과내과의원,의원,전남,360500,여수시,"전라남도 여수시 시청로 42, (학동)",127.6631719,34.7654529
바른정형외과의원,의원,전남,360400,순천시,"전라남도 순천시 해룡면 향매로 67, (해룡면)",127.5461981,34.9344733
바른플란트치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 웅천로 134, 303,304호 (웅천동)",127.6778506,34.7403547
바른한의원,한의원,전남,360400,순천시,"전라남도 순천시 왕지2길 4-40, 2~3층 (왕지동)",127.5222979,34.9681561
바른한의원,한의원,전남,360015,영암군,"전라남도 영암군 삼호읍 방아제로 17, 1층",126.472083,34.7474083
박가정의학과 의원,의원,전남,360020,함평군,"전라남도 함평군 함평읍 광남길 90, (함평읍)",126.5205947,35.0634792
박경철외과의원,의원,전남,360500,여수시,"전라남도 여수시 소라면 덕양로 397, 1층",127.6327133,34.7932651
박관우한의원,한의원,전남,360300,목포시,"전라남도 목포시 백년대로375번길 1, 2층 (옥암동)",126.4272203,34.8074151
박기정치과의원,치과의원,전남,360400,순천시,"전라남도 순천시 장선배기길 33, 4층 (조례동)",127.5262338,34.9539212
박내과의원,의원,전남,360022,화순군,"전라남도 화순군 화순읍 자치샘로 25, 1층",126.9840216,35.0624542
박내과의원,의원,전남,360008,담양군,"전라남도 담양군 담양읍 지침3길 7, (담양읍)",126.9843955,35.3158336
박노승치과의원,치과의원,전남,360500,여수시,"전라남도 여수시 시청로 57, 3층 (학동)",127.6623129,34.7668673
박도영비뇨기과의원,의원,전남,360014,영광군,"전라남도 영광군 영광읍 신남로 181, (영광읍)",126.5018959,35.2761918
박상선내과의원,의원,전남,360017,장성군,"전라남도 장성군 장성읍 영천로 206, (장성읍)",126.7853924,35.3026695
