요양기관명,종별코드명,시도코드명,시군구코드,시군구코드명,주소,좌표(X),좌표(Y)
서면예치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로 711, 6층 (부전동, 동아빌딩)",129.0587795,35.1563418
서면오늘플란트치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 2, 국민은행 서면중앙지점 4,6,7층 (부전동)",129.0590368,35.1585719
서면정형외과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 19, 6층 (부전동)",129.0573082,35.159495
서면좋은사람안과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 서면문화로 10, 15층,16층 (부전동)",129.0576139,35.1588242
서면중앙치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 26, (부전동)",129.0574856,35.1600562
서면최성훈한의원,한의원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 17, 서면빌딩 4층 (부전동)",129.0574954,35.1593104
서면클란트치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 서면문화로 8, 하나은행서면지점 5층 (부전동)",129.0578741,35.1586762
서면필내과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 서면문화로 10, 7층 (부전동)",129.0576139,35.1588242
서민정형외과의원,의원,부산,210001,부산남구,"부산광역시 남구 용호로 132-1, (용호동)",129.1118499,35.1204514
서보원내과의원,의원,부산,210005,부산북구,"부산광역시 북구 만덕대로 80, 2층 (덕천동)",129.0136823,35.2119541
서부산성모안과의원,의원,부산,210010,부산사하구,"부산광역시 사하구 낙동남로 1417, 8.9층 (하단동)",128.9666289,35.1065996
서성국안과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 재반로 198-1, (반여동)",129.1308031,35.1948892
서승도치과의원,치과의원,부산,210007,부산영도구,"부산광역시 영도구 청학로 91, (청학동)",129.0610509,35.0963751
서승진정신건강의학과의원,의원,부산,210011,부산금정구,"부산광역시 금정구 구서로 10, 5층 502호 (구서동)",129.0901269,35.2468711
서앤장센텀내과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 해운대로 365, 301,401호 (우동)",129.1374368,35.1704318
서영주소아청소년과의원,의원,부산,210004,부산진구,"부산광역시 부산진구 새싹로 208, (초읍동)",129.0491503,35.174648
서영준신경외과의원,의원,부산,210006,부산서구,"부산광역시 서구 구덕로 312, 3층 (동대신동2가)",129.0171811,35.1117278
서울 당신을 위한 정형외과의원,의원,부산,210011,부산금정구,"부산광역시 금정구 장전로 10, 가온메디컬 103호, 201호 (장전동)",129.0876258,35.2278296
서울65치과의원,치과의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로783번길 26, 4층 (부전동)",129.0620281,35.1630504
서울MS치과의원,치과의원,부산,210013,부산연제구,"부산광역시 연제구 월드컵대로 125, 301호 (연산동, 더웰타워)",129.0818247,35.1852318
서울건치과의원,치과의원,부산,210011,부산금정구,"부산광역시 금정구 중앙대로 2093, 수광빌딩 3층 (남산동)",129.0923542,35.2711562
서울그린의원,의원,부산,210010,부산사하구,"부산광역시 사하구 다대로 473, (다대동)",128.9783573,35.0611812
서울넘버원신경외과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 온천장로 75, 4층 401A, 402A, 403A호 (온천동, 온천KH파인우스)",129.081946,35.21815
서울늘봄안과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 중앙대로 1523, SKHUBSKY 2층 B2-00일부호 (온천동)",129.0855308,35.2208431
서울더남성의원,의원,부산,210002,부산동구,"부산광역시 동구 중앙대로 197, 6층 (초량동)",129.0392211,35.1151156
서울더빛의원,의원,부산,210004,부산진구,"부산광역시 부산진구 중앙대로666번길 50, 상가동 지하1층 B106호, B106-2,3,4,6,7호 (부전동, 더샵 센트럴스타)",129.0609104,35.1519683
서울리더스정형외과의원,의원,부산,210003,부산동래구,"부산광역시 동래구 사직북로 7, 세미프라자 5층 501,502호 (사직동)",129.0605997,35.1965686
서울리더스치과의원,치과의원,부산,210001,부산남구,"부산광역시 남구 문현금융로 40, 부산국제금융센터 상가 314호 (문현동)",129.0656311,35.1472602
서울리안치과의원,치과의원,부산,210006,부산서구,"부산광역시 서구 구덕로 234, 201호 (부용동1가, 남명더라우)",129.0204227,35.1055403
서울마취통증의학과의원,의원,부산,210002,부산동구,"부산광역시 동구 중앙대로286번길 5, 3층일부, 4층, 6층 (초량동)",129.0442589,35.1219764
서울마취통증의학과의원,의원,부산,210009,부산해운대구,"부산광역시 해운대구 센텀2로 20, 1303호 (우동, 센텀타워메디칼)",129.1320258,35.1671978
